ID,HS_nr,Local_ID,Excavation_field,Bearing_degrees,Sex_estimation,Age_category,Age_years,Stature_cm,Church_distance_m,Easting_UTM32N,Northing_UTM32N
285,336,TX,B,45.0,Female,Adultus,18–30,,14.55116835,580193.0183891136,6570832.2389071770
286,337,TW,C/D,65.2,Female,Adultus,30–35 ,,14.57404748,580205.0332969966,6570835.3688755389
287,337,TX,B,57.0,Female,Adultus,18–30,,14.57404748,580192.6894847312,6570832.5195109174
288,338,TW,C/D,67.1,Female,Adultus,30–40 ,165,23.8762725,580203.7186825734,6570834.4072975907
289,338,TX,C,63.4,Female,Adultus,18–30,,23.8762725,580177.9943992004,6570843.9203293109
290,339,TW,C/D,80.5,Male,Adult unsp.,,171,,580207.2497341665,6570835.3990965588
291,340,TW,C/D,74.1,Female,Maturus/Senilis,50,162,34.45662836,580207.1151132542,6570835.2754651085
292,341,TW,C/D,88.2,Male,Maturus,35–45 ,,,580208.5032197058,6570837.2453262173
293,342,TW,C/D,59.1,Male,Adultus,20–25 ,166,,580206.0388327936,6570836.1958325710
294,343,TX,B,64.1,Female,Adult unsp.,20,,12.43479769,580193.9867797716,6570828.2303752014
295,343,TW,C/D,51.6,Male,Adultus,,164,12.43479769,580204.8657076970,6570834.8661076380
296,344,TX,B,89.1,Female,Adult unsp.,20,155,12.97092972,580193.8664519342,6570829.2411290351
297,345,TW,C/D,71.8,Female,Adultus,30–35 ,160,34.54217442,580207.2827025534,6570835.2067809701
298,346,TW,C/D,64.8,Male,Adultus,20–22 ,175,,580205.9570986680,6570835.3908544630
299,347,TW,C/D,65.2,Male,Maturus,40–45 ,165,,580204.8959287181,6570836.0859379489
300,348,TW,C/D,70.7,Female,Adult unsp.,,167,31.26642078,580203.7571456912,6570834.2809187751
301,349,TW,C/D,78.4,Female,Adultus,18–19 ,,31.24245416,580203.8807771418,6570834.1078347452
302,350,TX,B,67.7,Female,Maturus,35–45,157,17.21511393,580195.1542913232,6570833.9310919521
303,350,TW,C/D,70.3,Male,Maturus,,165,17.21511393,580204.2090873270,6570833.2506566849
304,351,TW,C/D,60.3,Female,Adultus,18–20 ,,13.18359967,580204.2152688996,6570835.2933229860
305,351,TX,B,92.4,Female,Maturus,30–50,173,13.18359967,580193.4294212294,6570830.0343301371
306,352,TX,B,57.0,Female,Maturus,30–35,156,17.48569473,580196.2888409562,6570833.2577524837
307,353,TX,B,80.6,Male,Senilis,50,173,12.91903219,580192.6197171344,6570830.4433499202
308,355,TX,B,55.6,Female,Adult unsp.,20,,16.90446869,580195.6531373318,6570833.0647832444
309,355,TW,C/D,85.5,Male,Adultus,,168,16.90446869,580203.3258092974,6570833.9429928102
310,355,TW,C/D,80.4,Male,Adultus,,168,16.90446869,580203.5346090804,6570833.8550771112
311,356,TW,C/D,73.1,Female,Adultus,,153,34.72445397,580206.2586220386,6570836.6683794484
312,357,TW,C/D,57.9,Female,Juvenis,42339,,12.35059287,580207.3046814780,6570835.0446864003
313,357,TX,B,,Female,Maturus,30–50,,12.35059287,580189.2210385160,6570832.0119708227
